HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176	geneID
4	17	5	23	27	49	3	29	2	53	ENSG00000183570.16_4
0	0	0	0	0	0	0	0	0	0	ENSG00000183640.5_2
0	0	0	0	0	0	0	0	0	0	ENSG00000183653.4
0	1	0	2	0	1	2	0	0	0	ENSG00000183778.17_4
0	0	0	0	0	0	0	0	0	0	ENSG00000183844.16_4
0	0	0	0	0	0	0	0	0	0	ENSG00000184012.11_4
0	0	0	0	0	0	0	0	0	0	ENSG00000184029.9_4
0	0	0	0	0	0	0	0	0	0	ENSG00000184032.2_2
0	6	4	3	2	4	1	0	7	2	ENSG00000184221.12_4
0	0	0	0	0	0	0	0	0	0	ENSG00000184274.3_4
0	0	0	0	0	0	0	0	0	0	ENSG00000184351.7_2
0	1	2	2	4	3	1	0	1	1	ENSG00000184385.2_4
53	34	37	36	25	55	8	59	52	20	ENSG00000184441.4_5
0	0	0	0	0	0	0	0	0	0	ENSG00000184724.5_2
0	0	0	0	0	0	0	0	0	0	ENSG00000184787.18_2
0	0	0	0	0	0	0	0	0	0	ENSG00000184809.12_4
0	0	0	0	0	0	0	0	0	0	ENSG00000184856.6_4
0	0	0	0	0	0	0	0	0	0	ENSG00000184900.15_2
0	0	0	0	0	0	0	0	0	0	ENSG00000185186.8_3
0	0	0	0	0	0	0	0	0	0	ENSG00000185272.13_2
0	0	0	0	0	0	0	0	0	0	ENSG00000185390.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000185433.8_3
27	36	26	36	29	27	37	23	21	29	ENSG00000185437.13_4
19	33	28	27	6	23	19	13	27	8	ENSG00000185658.13_4
297	351	437	344	244	321	337	276	340	304	ENSG00000185808.13_2
3	1	7	7	4	1	10	1	3	4	ENSG00000185917.13_4
0	0	0	0	0	0	0	0	0	0	ENSG00000186842.4_5
411	400	345	435	367	405	398	448	328	385	ENSG00000186866.16_2
0	0	0	0	0	0	0	0	0	0	ENSG00000186924.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000186925.6_2
0	0	0	0	0	0	0	0	0	0	ENSG00000186930.4_2
0	0	0	0	0	0	0	0	0	0	ENSG00000186965.4_2
0	0	0	0	0	0	0	0	0	0	ENSG00000186967.6_2
0	0	0	0	0	0	0	0	0	0	ENSG00000186970.4_2
0	0	0	0	0	0	0	0	0	0	ENSG00000186971.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000186977.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000186980.6_2
0	0	0	0	0	0	0	0	0	0	ENSG00000187005.4_2
0	0	0	0	0	0	0	0	0	0	ENSG00000187026.2_2
0	1	0	1	0	4	3	1	1	0	ENSG00000187172.15_4
