sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	protein_ID
2822938	2145684	1556726	2807284	3137023	1727402	8594284	2750183	1577388	12914944	2040308	3995503	4732740	3425113	5517921	725854	735076	970867	3681065	3748945	1306172	4698785	2846784	5877940	2701599	1220296	1032042	1249545	45238061	7212167	4379153	1068997	18999104	9045650	5337421	434704	2349221	609820	7151785	2865844	2484458	1988969	10205890	1776469	13979045	1910690	705277	2530933	910657	3201181	915430	7082155	1595894	3375093	6643211	1261760	1455619	9248318	2243368	5611327	833641	1475948	53516993	887152	protein_21
147785	148951	117560	125883	70436	55053	261004	59823	73330	24837	77550	104577	110050	39538	43058	30739	40136	43695	68453	31016	68655	119292	127088	50846	233663	181488	73481	57968	249878	27242	321254	216348	165135	67812	59760	33605	79019	68197	29039	107204	25690	98151	32423	37254	105982	38212	65231	111758	80768	191037	68394	40373	53631	42521	394806	74425	65164	39910	42831	58654	38772	80096	155351	47361	protein_22
3882072	2535425	1462935	5876002	4870118	2232452	7875092	320488	2904977	3751274	2054077	6490843	5956078	2858636	1687658	1393929	5051928	1140845	2147044	1322067	4798100	1232243	1070507	1795110	5675071	794188	2053345	1988970	3505216	1771601	5438925	930653	3265297	647089	2938168	1112052	1322454	4701071	1762556	1157049	695767	4283836	2938047	390472	1029031	428968	4232677	2025546	4372192	692286	3337711	1676285	865611	1504607	5898327	3419518	3467747	1605896	462820	5201622	1303400	4469413	3890727	3198659	protein_23
1069823	878038	657850	1393133	605917	411465	1510943	325711	545016	369260	814670	1294745	1298057	1171371	893602	406460	568200	367399	525739	611842	625755	573443	535541	440563	1673591	911251	570733	507588	923571	291659	1459340	916329	776152	1458281	1338108	272410	475342	211761	814828	439444	180958	799393	1318730	197648	1161500	221147	484952	702445	242179	843615	529716	599569	184153	362676	2220005	198396	679578	403634	212632	1288095	265518	224864	1239251	379124	protein_24
115478	365244	12305	128576	0	0	402003	6305	121925	2004	73871	68402	75352	1727	69179	0	0	0	383629	13775	175323	20374	13551	0	94755	242981	25419	0	330507	784	449773	269128	384856	84392	4712	50057	1873	11825	5994	4896	0	183669	1646	0	76033	0	0	24292	11730	234533	174640	16523	3749	68917	239633	19416	107812	0	0	3732	1492	10644	541013	104928	protein_25
776482	1323567	358402	1641257	126555	1546522	1329100	235657	200907	496925	576895	1063389	1728122	103476	644101	1586491	153687	1356605	816152	556869	277828	298747	279405	1763811	1267484	2333251	381210	149925	1022805	351948	1551115	2638914	1818677	837369	152147	751269	381022	238799	409302	502246	823243	229836	110102	1177501	1094876	746980	474975	377370	242794	1528128	237039	487347	220146	985947	1285709	397864	162487	291435	1140159	130485	537074	317610	1674484	1008352	protein_26
3520753	2703890	2573036	3601710	693948	1173601	2661061	720601	1313553	1270512	4808342	3428744	4077593	1010627	2612792	1400955	1412868	1169756	2651568	2330703	1737756	1165540	1630549	1761563	7697211	2344752	1347335	1344570	7430218	1886283	2086516	3487256	3353764	3082844	1786507	1535422	800765	2894260	2508032	1031474	2220895	2646997	1721385	1090200	1555068	932351	562339	2999957	3182077	4573625	812221	2572758	679201	3895586	4974361	1007402	2271456	938261	2074348	1544287	1171913	3289456	3414174	2069907	protein_27
6937835	5904010	5198688	3495031	1494004	1641449	8056705	1002235	2681413	2391344	8523915	4409385	3389139	1678097	9984120	1442079	1709127	1801770	3589169	1606593	2314415	4396528	3802491	1932611	4004830	2699525	5088937	6905229	8589169	2225669	9894679	2223706	4310618	11007988	1552899	135769	1662497	678934	2066506	2176477	5876723	2577876	1570918	6154350	6852275	5223488	3393615	5841945	714101	3483837	2047181	1743773	852519	251924	17069042	540576	2418573	628241	6513522	1572167	1910945	714732	7324921	152724	protein_28
0	53087	72850	120470	824259	0	0	0	14892	0	27606	80938	101707	35454	24316	0	517943	0	37348	95391	18755	59216	58559	0	144546	50703	67986	543414	78525	0	0	53092	66271	457563	48139	93638	0	83081	102538	0	0	16960	38855	0	392139	0	2743699	93671	85373	41251	16445	92590	0	121416	0	88471	15110	0	0	40530	0	83163	67233	131812	protein_29
2473865	2271180	2297003	2139402	1866782	1126043	3715693	970616	1655946	2055383	3302972	2011939	2180249	1206276	3177912	969219	1202002	881705	1681492	1007413	1826046	1142529	1173873	820883	4178595	2894783	1364810	1504707	3574717	1330897	4044612	2820709	3077941	2512670	2110457	683393	1993198	2240011	1371978	2145388	1026103	2690204	1522600	979664	2877812	814764	2021074	1102680	2630228	5495202	1824047	1250806	1283367	406508	5928209	2234444	2194035	906194	1978808	1679856	1586589	3436512	3497994	434021	protein_30
